,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1440, 01-Feb-2021,RELIANCE,147395,1874.03,7864911,49.86
732, 01-Feb-2021,ICICIBANK,126641,580.42,21819254,31.46
662, 01-Feb-2021,HDFCBANK,92903,1439.43,6454236,48.95
1532, 01-Feb-2021,SBIN,88469,300.59,29428379,28.46
659, 01-Feb-2021,HDFC,86697,2497.4,3471229,48.85
812, 01-Feb-2021,INDUSINDBK,76772,931.95,8238936,21.64
165, 01-Feb-2021,AXISBANK,69309,686.12,10100954,32.96
1045, 01-Feb-2021,LT,66930,1405.46,4762242,42.08
1824, 01-Feb-2021,TCS,65841,3098.04,2125201,53.32
819, 01-Feb-2021,INFY,56241,1255.6,4479182,50.44
324, 01-Feb-2021,CIPLA,45553,812.75,5604740,40.45
432, 01-Feb-2021,DRREDDY,40050,4434.05,903244,34.87
860, 01-Feb-2021,ITC,38420,211.22,18192320,31.5
979, 01-Feb-2021,KOTAKBANK,37427,1753.04,2134845,44.21
1497, 01-Feb-2021,SAIL,37016,60.58,61099517,34.39
692, 01-Feb-2021,HINDUNILVR,36920,2253.01,1638783,60.3
658, 01-Feb-2021,HCLTECH,36623,915.3,4001582,46.25
1805, 01-Feb-2021,TATAMOTORS,34165,269.6,12678691,7.65
179, 01-Feb-2021,BAJFINANCE,32456,4902.27,662056,15.43
1899, 01-Feb-2021,ULTRACEMCO,29583,5589.68,529211,36.37
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
661, 02-Feb-2021,HDFCBANK,159753,1556.51,10262616,48.39
799, 02-Feb-2021,INDIGOPNTS,146480,2684.35,5456304,43.13
1447, 02-Feb-2021,RELIANCE,139283,1889.81,7369471,38.51
658, 02-Feb-2021,HDFC,126160,2702.44,4668522,50.45
1539, 02-Feb-2021,SBIN,104554,325.89,32088704,26.42
1798, 02-Feb-2021,TATAMOTORS,93742,308.75,30359979,12.05
729, 02-Feb-2021,ICICIBANK,74535,613.06,12159902,28.7
432, 02-Feb-2021,DRREDDY,69501,4452.89,1560703,42.47
977, 02-Feb-2021,KOTAKBANK,59941,1852.5,3235423,55.11
165, 02-Feb-2021,AXISBANK,59804,722.7,8276420,28.83
1043, 02-Feb-2021,LT,58348,1533.27,3804965,26.52
689, 02-Feb-2021,HINDUNILVR,54758,2233.77,2451371,58.15
228, 02-Feb-2021,BHARTIARTL,49943,593.59,8413096,39.48
179, 02-Feb-2021,BAJFINANCE,48875,5223.45,935875,21.52
1818, 02-Feb-2021,TCS,46716,3197.36,1461083,50.7
820, 02-Feb-2021,INFY,43181,1275.19,3386619,49.13
863, 02-Feb-2021,ITC,39603,219.76,18023213,37.19
1895, 02-Feb-2021,ULTRACEMCO,37267,6071.48,613905,27.26
813, 02-Feb-2021,INDUSINDBK,34578,974.04,3550263,17.27
1103, 02-Feb-2021,MARUTI,34486,7651.32,450748,26.5
,DATE1,SYMBOL,DELIV_LACS,AVG_PRICE,DELIV_QTY,DELIV_PER
1431, 03-Feb-2021,RELIANCE,93366,1931.87,4832689,34.56
164, 03-Feb-2021,AXISBANK,77680,729.55,10647564,45.23
657, 03-Feb-2021,HDFCBANK,74663,1565.97,4768384,47.12
1787, 03-Feb-2021,TATAMOTORS,74504,334.33,22289570,9.94
730, 03-Feb-2021,ICICIBANK,72596,620.98,11691236,43.05
699, 03-Feb-2021,HOMEFIRST,56792,589.35,9636855,39.28
814, 03-Feb-2021,INFY,55867,1289.14,4333962,52.96
654, 03-Feb-2021,HDFC,55642,2687.61,2070316,43.29
228, 03-Feb-2021,BHARTIARTL,51096,613.31,8330837,27.7
856, 03-Feb-2021,ITC,47149,217.78,21652591,40.36
1523, 03-Feb-2021,SBIN,45269,334.1,13550924,20.4
424, 03-Feb-2021,DRREDDY,43145,4670.92,923734,26.81
807, 03-Feb-2021,INDUSINDBK,40600,1048.01,3874773,11.07
1037, 03-Feb-2021,LT,40106,1538.53,2606705,42.06
1741, 03-Feb-2021,SUNPHARMA,38224,634.62,6022559,25.32
1391, 03-Feb-2021,PVR,38185,1519.12,2513670,62.52
972, 03-Feb-2021,KOTAKBANK,31177,1856.1,1679909,39.16
