Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22032021,770196591,0001836
Trade Date <22-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,74675,47369,63.43
20,2,21STCENMGM,EQ,2177,2177,100.00
20,3,3IINFOTECH,EQ,8448959,4887734,57.85
20,4,3MINDIA,EQ,11794,6970,59.10
20,5,3PLAND,EQ,4381,2619,59.78
20,6,5PAISA,EQ,17715,9243,52.18
20,7,63MOONS,EQ,29546,19880,67.28
20,8,716GS2050,GS,26,26,100.00
20,9,A2ZINFRA,EQ,829493,550311,66.34
20,10,AAATECH,SM,207000,198000,95.65
20,11,AARON,EQ,2020,1618,80.10
20,12,AARTIDRUGS,EQ,3072899,778963,25.35
20,13,AARTIIND,EQ,151246,68863,45.53
20,14,AARTISURF,EQ,5715,2616,45.77
20,15,AARVEEDEN,EQ,4011,3171,79.06
20,16,AARVI,EQ,2302,2061,89.53
20,17,AAVAS,EQ,131891,73929,56.05
20,18,ABAN,EQ,103190,61562,59.66
20,19,ABB,EQ,77105,32157,41.71
20,20,ABBOTINDIA,EQ,12736,5332,41.87
20,21,ABCAPITAL,EQ,2094161,759121,36.25
20,22,ABFRL,EQ,1753377,936405,53.41
20,23,ABFRLPP1,E1,3102,2298,74.08
20,24,ABMINTLTD,EQ,2274,2100,92.35
20,25,ABSLBANETF,EQ,225,94,41.78
20,26,ABSLNN50ET,EQ,111,100,90.09
20,27,ABSLRIF6RG,MF,36968,26968,72.95
20,28,ACC,EQ,4627665,1202267,25.98
20,29,ACCELYA,EQ,1975,1191,60.30
20,30,ACCORD,SM,8000,8000,100.00
20,31,ACCURACY,EQ,965,756,78.34
20,32,ACE,EQ,356579,240883,67.55
20,33,ACRYSIL,EQ,55860,30066,53.82
20,34,ADANIENT,EQ,22596465,1548950,6.85
20,35,ADANIGREEN,EQ,382028,208484,54.57
20,36,ADANIPORTS,EQ,22864950,3097181,13.55
20,37,ADANIPOWER,EQ,26846097,9630018,35.87
20,38,ADANITRANS,EQ,1802300,771974,42.83
20,39,ADFFOODS,EQ,26663,9627,36.11
20,40,ADHUNIKIND,EQ,13026,9594,73.65
